"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"refseq"
"ENSG00000024422"	275.639069990064	-7.95791737494171	1.40820935584824	-5.65108969195012	1.59433868003761e-08	1.24358417042934e-05	"EHD2"	"NM_014601"
"ENSG00000005844"	425.560452968414	-3.1948368848432	0.757896569311098	-4.21539958644647	2.49336315268364e-05	0.00564158779499354	"ITGAL"	"NM_001114380"
"ENSG00000060566"	70.1686338411595	-6.42994931153023	1.53763269596979	-4.18171994416056	2.89312194615053e-05	0.00564158779499354	"CREB3L3"	"NM_001271995"
"ENSG00000064201"	116.250525493632	-4.46736898664019	1.04773045397526	-4.26385333144635	2.0093136227829e-05	0.00564158779499354	"TSPAN32"	"NM_005705"
"ENSG00000011028"	107.161999350201	-4.19370502828051	1.07797816467721	-3.89034320517641	0.000100102541439299	0.0156159964645306	"MRC2"	"NM_006039"
"ENSG00000042980"	118.138335195685	-4.34041598469316	1.20952730439357	-3.58852253184094	0.000332557256445132	0.0432324433378672	"ADAM28"	"NM_001304351"
"ENSG00000049540"	32.7332986274921	-6.92102187156976	2.00616177813368	-3.44988223133647	0.000560831157321011	0.0624926146729127	"ELN"	"NM_000501"
"ENSG00000022267"	1111.24397620224	2.12405856779379	0.629719932340017	3.37302101888511	0.000743482769001829	0.0724895699776784	"FHL1"	"NM_001159699"
"ENSG00000026751"	87.6037946658838	-4.1019786792005	1.23781355219195	-3.31389058710548	0.00092007502623212	0.0797398356067837	"SLAMF7"	"NM_001282588"
"ENSG00000007264"	66.4174530388435	-4.53944202410375	1.40200743581755	-3.23781594029613	0.00120448490860805	0.0854089298831165	"MATK"	"NM_002378"
"ENSG00000061337"	30.6559950976138	6.88884620745767	2.11442796000857	3.25801887685488	0.00112192943004907	0.0854089298831165	"LZTS1"	"NM_021020"
"ENSG00000001460"	19.5149242594496	-6.29373755206862	2.04367822454061	-3.0796127670653	0.00207269888394286	0.0990042656474621	"STPG1"	"NM_001199012"
"ENSG00000007062"	234.282501536668	-3.34748367635335	1.06863024529327	-3.1324994693882	0.00173324740825925	0.0990042656474621	"PROM1"	"NM_001145847"
"ENSG00000008256"	620.729905683922	2.32102861347808	0.756624583096559	3.067609307616	0.00215778527693187	0.0990042656474621	"CYTH3"	"NM_004227"
"ENSG00000033627"	51.8016190693511	-3.62051114406683	1.17164189951154	-3.09011750567833	0.00200077322432278	0.0990042656474621	"ATP6V0A1"	"NM_001130020"
"ENSG00000048462"	38.7169523379881	-5.30435856836447	1.72351131469407	-3.07764650173244	0.00208642253985288	0.0990042656474621	"TNFRSF17"	"NM_001192"
"ENSG00000064651"	355.097222305284	2.11619566290813	0.677255354868882	3.12466434956107	0.00178008050705821	0.0990042656474621	"SLC12A2"	"NM_001046"
"ENSG00000034053"	68.7624412808921	-3.66268842669943	1.21842365968556	-3.00608774097891	0.00264632625636624	0.110807477003854	"APBA2"	"NM_001130414"
"ENSG00000064687"	561.709474677696	-2.27455097685537	0.758165421490891	-3.00007216417571	0.00269915649111951	0.110807477003854	"ABCA7"	"NM_019112"
"ENSG00000065054"	181.148981948847	-3.61427136277898	1.24533145395074	-2.90225654488443	0.00370485001863416	0.144489150726732	"SLC9A3R2"	"NM_001130012"
"ENSG00000063127"	90.8152257062898	-3.56792045693113	1.24590085131757	-2.86372744119885	0.0041868810933321	0.155512726323764	"SLC6A16"	"NM_014037"
"ENSG00000000971"	23.9479250280444	4.65002123631817	1.64032180349701	2.83482254909053	0.0045851146137516	0.15923932890138	"CFH"	"NM_000186"
"ENSG00000005471"	32.8057699241158	-4.75752083081491	1.68276037510549	-2.82721230021634	0.00469551867273301	0.15923932890138	"ABCB4"	"NM_000443"
"ENSG00000060982"	123.567569279086	2.5233909509056	0.925462410131257	2.72662716851753	0.00639852913826011	0.207952196993454	"BCAT1"	"NM_001178091"
"ENSG00000023445"	250.667335736351	-2.98815847175973	1.1065655476893	-2.70038993894173	0.00692582482642465	0.213885031490978	"BIRC3"	"NM_001165"
"ENSG00000054523"	125.633709655406	-2.321541102323	0.862791000653698	-2.69073402546396	0.00712950104969926	0.213885031490978	"KIF1B"	"NM_015074"
"ENSG00000005961"	21.5103285953924	-4.18295524089221	1.58330158536154	-2.64191944198492	0.00824376610886681	0.219253738018418	"ITGA2B"	"NM_000419"
"ENSG00000013725"	195.374321833942	-2.83328599622705	1.07238479901311	-2.64204229567078	0.00824077641410192	0.219253738018418	"CD6"	"NM_001254750"
"ENSG00000062524"	90.0877517574941	-3.88894426350191	1.47631162412577	-2.63422992811888	0.00843283607763146	0.219253738018418	"LTK"	"NM_001135685"
"ENSG00000064666"	449.023507686785	-2.09110559990845	0.784792156238052	-2.66453427609712	0.00770950092958821	0.219253738018418	"CNN2"	"NM_001303499"
"ENSG00000000938"	196.879783520224	-2.59752823682681	1.00834620737783	-2.57602817149638	0.00999425031396809	0.251468233706294	"FGR"	"NM_001042729"
"ENSG00000002586"	2522.41317655351	1.52369603340212	0.614251185984066	2.4805748335041	0.013117072690101	0.319728646821211	"CD99"	"NM_001122898"
"ENSG00000064225"	295.215400089198	1.93853049747184	0.786716566028411	2.46407738336838	0.0137366450755087	0.324684338148388	"ST3GAL6"	"NM_001271142"
"ENSG00000055208"	776.980964048969	1.6404581541903	0.674161524566966	2.4333310258903	0.0149606164704797	0.343214142558063	"TAB2"	"NM_001292034"
"ENSG00000010327"	319.323148320797	-2.42610611184734	1.01128040746728	-2.39904391891014	0.016437942983654	0.356155431312504	"STAB1"	"NM_015136"
"ENSG00000065717"	31.1932542614182	-3.5802352450087	1.49024513124341	-2.40244720143556	0.0162857853544995	0.356155431312504	"TLE2"	"NM_001144761"
"ENSG00000004468"	686.522450986868	1.58247661438828	0.665129326365408	2.37920138484301	0.0173501942412574	0.360554071913675	"CD38"	"NM_001775"
"ENSG00000005379"	1221.01129977179	2.16102233505683	0.910037103054135	2.37465299799791	0.017565454785538	0.360554071913675	"TSPOAP1"	"NM_001261835"
"ENSG00000033327"	1878.37625359041	1.68322114000644	0.715711868349917	2.35181392742184	0.0186821177960288	0.372848720298723	"GAB2"	"NM_012296"
"ENSG00000066294"	61.0313612043354	-2.23802262602279	0.95512425438834	-2.34317432076523	0.0191204471948063	0.372848720298723	"CD84"	"NM_001184879"
"ENSG00000013306"	884.398591667586	-1.48136548872087	0.640575947360948	-2.31255246910818	0.0207472573732547	0.394703920759479	"SLC25A39"	"NM_001143780"
"ENSG00000001461"	122.929972172785	-1.84455234622707	0.806506102365827	-2.28709037763783	0.022190548416327	0.412110184874644	"NIPAL3"	"NM_001322854"
"ENSG00000029363"	3566.63547285708	1.82332893249412	0.80194721908554	2.27362710300718	0.0229884164679783	0.416999182442397	"BCLAF1"	"NM_001077440"
"ENSG00000006432"	52.3695436340327	-2.30972315781885	1.05463553786938	-2.19006763463049	0.0285193320683879	0.46421531647468	"MAP3K9"	"NM_001284230"
